ID,Footfall
3725712,1459.74
3725812,1456.29
3725912,1392.67
3726012,1350.06
3726112,1391.77
3726212,1394.24
3726312,1450.62
3726412,1394.29
3726512,1475.04
3726612,1421.83
3726712,1458.84
3726812,1313.49
3726912,1267.52
3727012,1432.54
3727112,1466.62
3727212,1452.08
3727312,1400.19
3727412,1394.25
3727512,1365.41
3727612,1354.71
3727712,1390.08
3727812,1452.62
3727912,1454.3
3728012,1466.47
3728112,1393.77
3728212,1448.48
3728312,1466.58
3728412,1471.83
3728512,1500.46
3728612,1533.87
3728712,1542.4
3728812,1372.17
3728912,1344.48
3729012,1353.44
3729112,1414.76
3729212,1383.42
3729312,1382.72
3729412,1407.02
3729512,1328.63
3729612,1407.16
3729712,1348.02
3729812,1328.59
3729912,1246.93
3730012,1277.04
3730112,1289.62
3730212,1379.79
3730312,1346.84
3730412,1351.8
3730512,1342.75
3730612,1383.24
3730712,1386.76
3730812,1366.89
3730912,1375.4
3731012,1334.02
3731112,1327.14
3731212,1329.37
3731312,1386.94
3731412,1361.58
3731512,1372.61
3731612,1250.86
3731712,1233.91
3731812,1240.67
3731912,1204.51
3732012,1192.89
3732112,1226.97
3732212,1272.23
3732312,1228.79
3732412,1270.89
3732512,1163.38
3732612,1202.98
3732712,1172.67
3732812,1192.48
3732912,1190.52
3733012,1219.99
3733112,1237.73
3733212,1255.0
3733312,1147.04
3733412,1222.73
3733512,1233.99
3733612,1262.61
3733712,1246.86
3733812,1300.82
3733912,1221.22
3734012,1133.4
3734112,1062.39
3734212,1175.93
3734312,1257.9
3734412,1193.84
3734512,1158.35
3734612,1121.77
3734712,1101.75
3734812,1053.13
3734912,988.61
3735012,880.88
3735112,986.44
3735212,1013.73
3735312,969.8
3735412,1046.47
3735512,1104.02
3735612,1149.08
3735712,928.71
3735812,956.98
3735912,1018.52
3736012,1001.03
3736112,952.76
3736212,1000.31
3736312,1124.48
3736412,1077.5
3736512,1187.53
3736612,1141.64
3736712,1081.88
3736812,1122.44
3736912,1138.44
3737012,1003.21
3737112,1094.18
3737212,1259.1
3737312,1034.98
3737412,960.29
3737512,975.61
3737612,942.73
3737712,822.36
3737812,802.35
3737912,789.94
3738012,902.48
3738112,839.45
3738212,769.07
3738312,790.1
3738412,1055.54
3738512,966.91
3738612,1079.09
3738712,1085.15
3738812,1041.13
3738912,932.24
3739012,995.16
3739112,912.83
3739212,962.56
3739312,991.69
3739412,871.8
3739512,813.24
3739612,876.53
3739712,877.46
3739812,882.36
3739912,899.96
3740012,846.79
3740112,861.23
3740212,831.34
3740312,784.84
3740412,992.42
3740512,908.76
3740612,900.36
3740712,969.55
3740812,915.6
3740912,849.27
3741012,810.82
3741112,856.06
3741212,944.44
3741312,965.71
3741412,1027.88
3741512,1001.44
3741612,1113.8
3741712,893.34
3741812,820.11
3741912,825.8
3742012,948.68
3742112,598.36
3742212,984.99
3742312,1079.41
3742412,964.24
3742512,904.25
3742612,835.16
3742712,763.61
3742812,820.35
3742912,1104.96
3743012,1123.69
3743112,1055.49
3743212,988.19
3743312,903.67
3743412,1005.68
3743512,763.28
3743612,1017.38
3743712,1010.88
3743812,1089.26
3743912,984.88
3744012,726.36
3744112,671.63
3744212,802.05
3744312,959.98
3744412,904.59
3744512,1026.85
3744612,1025.46
3744712,924.52
3744812,1078.41
3744912,967.55
3745012,1011.93
3745112,879.28
3745212,951.7
3745312,1043.12
3745412,1016.72
3745512,1091.7
3745612,1020.53
3745712,932.23
3745812,869.79
3745912,806.56
3746012,750.5
3746112,546.25
3746212,748.06
3746312,774.3
3746412,790.52
3746512,910.47
3746612,837.91
3746712,975.35
3746812,923.92
3746912,771.71
3747012,997.95
3747112,898.08
3747212,1035.03
3747312,735.64
3747412,969.29
3747512,1002.07
3747612,913.44
3747712,621.58
3747812,849.18
3747912,732.15
3748012,680.25
3748112,736.1
3748212,759.79
3748312,737.69
3748412,815.34
3748512,791.89
3748612,789.44
3748712,740.06
3748812,920.76
3748912,881.79
3749012,1018.22
3749112,876.54
3749212,820.19
3749312,1034.42
3749412,907.21
3749512,750.43
3749612,1003.22
3749712,960.36
3749812,980.0
3749912,936.43
3750012,818.33
3750112,956.82
3750212,884.19
3750312,1012.95
3750412,863.38
3750512,823.84
3750612,999.78
3750712,765.39
3750812,837.09
3750912,1118.72
3751012,996.07
3751112,940.39
3751212,955.44
3751312,1045.19
3751412,969.09
3751512,978.59
3751612,1014.37
3751712,971.77
3751812,927.07
3751912,1021.3
3752012,919.21
3752112,827.88
3752212,749.88
3752312,954.41
3752412,962.97
3752512,963.97
3752612,918.62
3752712,1110.23
3752812,961.31
3752912,1144.51
3753012,1104.6
3753112,1097.51
3753212,1098.36
3753312,955.07
3753412,1035.41
3753512,912.91
3753612,893.27
3753712,734.28
3753812,821.64
3753912,681.25
3754012,739.99
3754112,1065.89
3754212,842.0
3754312,999.94
3754412,1084.42
3754512,1087.43
3754612,1006.78
3754712,948.94
3754812,824.54
3754912,864.23
3755012,790.34
3755112,786.67
3755212,790.62
3755312,839.37
3755412,879.89
3755512,742.73
3755612,693.58
3755712,875.61
3755812,1025.02
3755912,834.8
3756012,1060.25
3756112,1074.81
3756212,1051.94
3756312,1060.4
3756412,933.01
3756512,868.84
3756612,974.55
3756712,1093.4
3756812,1122.47
3756912,966.2
3757012,977.72
3757112,985.56
3757212,1000.38
3757312,940.53
3757412,805.39
3757512,725.8
3757612,850.62
3757712,900.81
3757812,808.26
3757912,866.33
3758012,953.52
3758112,1005.71
3758212,1030.6
3758312,961.6
3758412,806.16
3758512,1108.66
3758612,982.32
3758712,886.57
3758812,835.59
3758912,808.35
3759012,882.45
3759112,941.39
3759212,887.26
3759312,1031.61
3759412,971.38
3759512,870.44
3759612,971.72
3759712,845.01
3759812,876.68
3759912,1049.22
3760012,897.07
3760112,879.03
3760212,910.57
3760312,982.03
3760412,953.02
3760512,1042.19
3760612,954.54
3760712,999.08
3760812,834.4
3760912,795.62
3761012,783.16
3761112,821.73
3761212,928.88
3761312,1106.35
3761412,1048.18
3761512,1046.56
3761612,1071.18
3761712,971.17
3761812,997.54
3761912,1054.14
3762012,1150.21
3762112,1079.92
3762212,1437.07
3762312,1448.65
3762412,1459.41
3762512,1456.08
3762612,1390.3
3762712,1417.51
3762812,1444.0
3762912,1435.86
3763012,1407.65
3763112,1423.82
3763212,1464.36
3763312,1535.09
3763412,1501.42
3763512,1500.76
3763612,1475.63
3763712,1487.08
3763812,1544.43
3763912,1519.92
3764012,1524.85
3764112,1432.71
3764212,1399.99
3764312,1495.77
3764412,1556.27
3764512,1506.94
3764612,1502.19
3764712,1467.01
3764812,1411.46
3764912,1448.61
3765012,1411.65
3765112,1427.56
3765212,1436.67
3765312,1301.51
3765412,1304.23
3765512,1308.65
3765612,1357.0
3765712,1286.64
3765812,1254.35
3765912,1275.51
3766012,1353.7
3766112,1358.32
3766212,1414.84
3766312,1482.82
3766412,1377.94
3766512,1371.05
3766612,1359.23
3766712,1319.27
3766812,1294.73
3766912,1377.33
3767012,1322.22
3767112,1339.45
3767212,1384.46
3767312,1381.65
3767412,1366.25
3767512,1331.22
3767612,1286.25
3767712,1325.93
3767812,1463.42
3767912,1444.42
3768012,1332.09
3768112,1291.8
3768212,1157.93
3768312,1143.65
3768412,1212.86
3768512,1290.15
3768612,1174.01
3768712,1053.49
3768812,1108.26
3768912,1115.75
3769012,1218.53
3769112,1209.0
3769212,1103.51
3769312,1088.27
3769412,1053.61
3769512,1260.55
3769612,1245.83
