ID,Footfall
3725712,1064.1
3725812,1117.82
3725912,1103.01
3726012,1030.28
3726112,1013.41
3726212,1044.16
3726312,1029.93
3726412,1044.44
3726512,1027.2
3726612,1055.99
3726712,1132.34
3726812,1002.89
3726912,850.06
3727012,792.26
3727112,751.42
3727212,813.77
3727312,1020.12
3727412,987.9
3727512,982.33
3727612,1080.28
3727712,1093.61
3727812,986.84
3727912,900.59
3728012,886.7
3728112,1035.51
3728212,980.64
3728312,797.4
3728412,754.84
3728512,717.4
3728612,768.57
3728712,732.86
3728812,789.29
3728912,883.39
3729012,932.04
3729112,924.66
3729212,861.31
3729312,741.54
3729412,829.21
3729512,861.75
3729612,771.56
3729712,831.06
3729812,974.81
3729912,1017.78
3730012,999.29
3730112,990.22
3730212,1096.46
3730312,1070.23
3730412,1106.85
3730512,1040.37
3730612,923.75
3730712,1124.1
3730812,1106.51
3730912,1056.46
3731012,1063.0
3731112,1050.47
3731212,939.5
3731312,998.2
3731412,995.44
3731512,946.07
3731612,980.98
3731712,952.0
3731812,1093.6
3731912,1108.64
3732012,1053.68
3732112,1004.16
3732212,1150.98
3732312,1081.06
3732412,1137.23
3732512,1053.0
3732612,1024.19
3732712,998.85
3732812,1065.19
3732912,978.52
3733012,1041.22
3733112,1070.79
3733212,1128.59
3733312,1048.42
3733412,1077.68
3733512,1160.03
3733612,1080.05
3733712,833.84
3733812,877.71
3733912,908.04
3734012,961.61
3734112,965.16
3734212,1053.15
3734312,1019.6
3734412,992.11
3734512,999.06
3734612,985.95
3734712,1118.57
3734812,1165.44
3734912,1237.26
3735012,1208.34
3735112,1133.3
3735212,1134.93
3735312,1124.61
3735412,1201.21
3735512,1223.0
3735612,1210.27
3735712,1215.14
3735812,1095.94
3735912,1070.83
3736012,1077.4
3736112,1112.35
3736212,1089.94
3736312,1220.68
3736412,1228.78
3736512,1221.11
3736612,1227.98
3736712,1191.61
3736812,1249.53
3736912,1262.02
3737012,1185.35
3737112,1197.72
3737212,1272.72
3737312,1186.03
3737412,1245.42
3737512,1199.02
3737612,1162.87
3737712,1352.75
3737812,1294.21
3737912,1278.71
3738012,1309.63
3738112,1210.78
3738212,1332.42
3738312,1487.71
3738412,1373.35
3738512,1404.05
3738612,1343.15
3738712,1338.24
3738812,1354.24
3738912,1361.08
3739012,1333.23
3739112,1259.82
3739212,1242.24
3739312,1386.84
3739412,1550.69
3739512,1475.99
3739612,1278.08
3739712,1301.02
3739812,1276.86
3739912,1293.02
3740012,1421.18
