ID,Footfall
3725712,986.530090332
3725812,1128.31945801
3725912,1068.94824219
3726012,1018.60247803
3726112,979.084411621
3726212,1040.69140625
3726312,1003.9989624
3726412,1030.97900391
3726512,965.739868164
3726612,1062.91040039
3726712,1114.00915527
3726812,1013.94989014
3726912,802.67565918
3727012,734.406555176
3727112,794.348266602
3727212,894.067260742
3727312,1052.37207031
3727412,1027.45117188
3727512,1053.71179199
3727612,1080.93884277
3727712,1067.51086426
3727812,1001.42468262
3727912,928.771606445
3728012,897.10760498
3728112,970.386047363
3728212,973.730651855
3728312,779.630737305
3728412,780.510498047
3728512,802.681335449
3728612,806.093200684
3728712,817.045288086
3728812,850.725158691
3728912,907.836730957
3729012,901.130554199
3729112,955.783935547
3729212,856.552368164
3729312,785.147033691
3729412,806.843688965
3729512,803.385009766
3729612,817.534606934
3729712,798.83581543
3729812,944.114624023
3729912,968.599975586
3730012,1003.88787842
3730112,1006.79571533
3730212,1032.30297852
3730312,1032.3425293
3730412,1098.31018066
3730512,987.977233887
3730612,1031.54150391
3730712,1104.34692383
3730812,1114.21069336
3730912,1062.76647949
3731012,1047.00512695
3731112,985.686584473
3731212,931.828125
3731312,1026.78967285
3731412,995.518737793
3731512,940.752319336
3731612,931.36315918
3731712,827.913085938
3731812,971.115783691
3731912,1006.72070312
3732012,947.142456055
3732112,970.276000977
3732212,1063.01782227
3732312,1049.71569824
3732412,1081.97802734
3732512,1028.59228516
3732612,1079.77770996
3732712,1027.80126953
3732812,1027.02941895
3732912,1029.68371582
3733012,1055.83691406
3733112,1113.25170898
3733212,1141.0168457
3733312,1081.19592285
3733412,1069.2701416
3733512,1111.46362305
3733612,1091.41357422
3733712,1039.33203125
3733812,1041.59521484
3733912,1025.88342285
3734012,1039.41894531
3734112,1050.95507812
3734212,1055.00500488
3734312,1097.40637207
3734412,1098.21459961
3734512,1102.11254883
3734612,1042.28979492
3734712,1061.79614258
3734812,1111.62976074
3734912,1202.85668945
3735012,1133.37426758
3735112,1087.29760742
3735212,1024.81848145
3735312,1015.23565674
3735412,1137.57470703
3735512,1135.7989502
3735612,1134.07507324
3735712,1105.43029785
3735812,1059.92993164
3735912,1069.76525879
3736012,1052.8260498
3736112,1108.60888672
3736212,1053.45568848
3736312,1166.42163086
3736412,1173.86157227
3736512,1120.4083252
3736612,1163.359375
3736712,1115.86914062
3736812,1233.36584473
3736912,1229.21887207
3737012,1209.22741699
3737112,1220.77893066
3737212,1255.36499023
3737312,1241.00048828
3737412,1246.53588867
3737512,1201.78283691
3737612,1222.42602539
3737712,1276.02282715
3737812,1226.19018555
3737912,1233.76318359
3738012,1193.66748047
3738112,1167.56933594
3738212,1306.57275391
3738312,1363.54504395
3738412,1312.52270508
3738512,1285.93847656
3738612,1262.40466309
3738712,1265.78063965
3738812,1155.25646973
3738912,1292.42150879
3739012,1284.04443359
3739112,1177.87780762
3739212,1206.95825195
3739312,1349.3314209
3739412,1401.50646973
3739512,1378.32666016
3739612,1333.78857422
3739712,1371.71105957
3739812,1355.50585938
3739912,1318.5847168
3740012,1348.38989258
3740112,1321.08679199
3740212,1373.1184082
3740312,1367.44348145
3740412,1338.95178223
3740512,1330.49743652
3740612,1346.09887695
3740712,1278.60339355
3740812,1296.41760254
3740912,1288.63146973
3741012,1399.36022949
3741112,1265.96252441
3741212,1319.1763916
3741312,1412.84326172
3741412,1441.09973145
3741512,1428.44909668
3741612,1415.79309082
3741712,1348.42248535
3741812,1426.33520508
3741912,1385.33093262
3742012,1335.78674316
3742112,1397.87695312
3742212,1453.14782715
3742312,1421.52038574
3742412,1443.1661377
3742512,1362.765625
3742612,1420.94116211
3742712,1496.30773926
3742812,1456.84960938
3742912,1442.93310547
3743012,1443.94104004
3743112,1383.23461914
3743212,1403.87817383
3743312,1414.32629395
3743412,1461.86108398
3743512,1542.2890625
3743612,1453.58117676
3743712,1441.55847168
3743812,1466.95581055
3743912,1573.0020752
3744012,1525.63879395
3744112,1614.65380859
3744212,1491.08776855
3744312,1507.94995117
3744412,1536.89855957
3744512,1435.56152344
3744612,1464.78186035
3744712,1463.35961914
3744812,1432.72119141
3744912,1413.69311523
3745012,1396.86791992
3745112,1365.13989258
3745212,1431.10461426
3745312,1437.07641602
3745412,1445.7097168
3745512,1419.43200684
3745612,1396.64868164
3745712,1454.140625
3745812,1465.9395752
3745912,1483.00292969
3746012,1554.109375
3746112,1640.49328613
3746212,1582.1138916
3746312,1575.58483887
3746412,1577.18518066
3746512,1445.86669922
3746612,1483.74194336
3746712,1493.45324707
3746812,1558.18103027
3746912,1594.84777832
3747012,1492.86682129
3747112,1524.87609863
3747212,1504.52416992
3747312,1554.63830566
3747412,1444.19055176
3747512,1453.80541992
3747612,1492.22680664
3747712,1528.11755371
3747812,1422.83654785
3747912,1519.49865723
3748012,1610.51525879
3748112,1595.56848145
3748212,1593.11157227
3748312,1530.82714844
3748412,1508.08544922
3748512,1595.27624512
3748612,1684.43615723
3748712,1574.77087402
3748812,1523.56506348
3748912,1488.59020996
3749012,1492.36547852
3749112,1430.27111816
3749212,1518.27978516
3749312,1467.11535645
3749412,1377.1060791
3749512,1516.4564209
3749612,1466.73535156
3749712,1530.52099609
3749812,1463.56018066
3749912,1397.64294434
3750012,1435.88903809
3750112,1473.26013184
3750212,1464.32910156
3750312,1476.51904297
3750412,1385.02294922
3750512,1430.49841309
3750612,1454.46081543
3750712,1466.46240234
3750812,1491.45068359
3750912,1460.27075195
3751012,1396.0723877
3751112,1356.6361084
3751212,1364.68518066
3751312,1363.34326172
3751412,1429.41638184
3751512,1406.34472656
3751612,1374.61279297
3751712,1340.90942383
3751812,1311.26428223
3751912,1364.90576172
3752012,1339.64550781
3752112,1318.90588379
3752212,1279.57373047
3752312,1325.22351074
3752412,1391.61584473
3752512,1377.02709961
3752612,1325.23535156
3752712,1398.24438477
3752812,1342.29528809
3752912,1395.7253418
3753012,1372.42993164
3753112,1365.79406738
3753212,1336.87854004
3753312,1286.59033203
3753412,1289.57055664
3753512,1255.07458496
3753612,1163.16381836
3753712,1283.84753418
3753812,1187.24401855
3753912,1147.91174316
3754012,1207.0177002
3754112,1278.80578613
3754212,1245.40673828
3754312,1194.21374512
3754412,1233.29077148
3754512,1273.81164551
3754612,1272.64807129
3754712,1268.88293457
3754812,1230.65026855
3754912,1228.86499023
3755012,1176.36279297
3755112,1164.65893555
3755212,1165.58154297
3755312,1197.60473633
3755412,1167.20471191
3755512,1084.73779297
3755612,1070.79174805
3755712,1198.04907227
3755812,1226.64819336
3755912,1190.58190918
3756012,1229.71911621
3756112,1208.2487793
3756212,1279.7668457
3756312,1224.75878906
3756412,1100.60510254
3756512,1017.27624512
3756612,1172.12414551
3756712,1239.37280273
3756812,1252.87487793
3756912,1191.10302734
3757012,1145.83532715
3757112,1169.96850586
3757212,1175.50476074
3757312,1140.71533203
3757412,1041.02038574
3757512,1003.27459717
3757612,1120.10327148
3757712,1118.53710938
3757812,983.227722168
3757912,1091.92504883
3758012,1146.71801758
3758112,1133.92089844
3758212,1154.39758301
3758312,1106.78015137
3758412,980.67376709
3758512,1178.2208252
3758612,1115.84777832
3758712,1030.77587891
3758812,944.19720459
3758912,991.74041748
3759012,1019.41027832
3759112,1006.90447998
3759212,967.296203613
3759312,1086.56665039
3759412,1030.72436523
3759512,962.455749512
3759612,1045.90820312
3759712,950.287963867
3759812,1016.77868652
3759912,1092.12365723
3760012,811.929260254
3760112,921.571228027
3760212,935.115905762
3760312,939.142028809
3760412,866.5625
3760512,1077.70837402
3760612,996.198486328
3760712,954.046264648
3760812,835.156555176
3760912,784.950805664
3761012,844.870910645
3761112,810.420227051
3761212,909.178222656
3761312,1079.56469727
3761412,1060.95007324
3761512,1042.61804199
3761612,1078.51184082
3761712,940.642822266
3761812,1018.49304199
3761912,1051.05163574
3762012,1108.78735352
3762112,1130.39306641
3762212,985.535644531
3762312,1014.91723633
3762412,1012.64080811
3762512,1030.42541504
3762612,937.590332031
3762712,942.815612793
3762812,980.370605469
3762912,1025.09729004
3763012,945.12677002
3763112,973.697570801
3763212,912.542358398
3763312,786.555297852
3763412,800.206359863
3763512,846.987365723
3763612,714.741455078
3763712,707.669433594
3763812,770.707641602
3763912,806.744445801
3764012,808.263183594
3764112,739.140075684
3764212,769.806640625
3764312,796.962280273
3764412,769.334411621
3764512,672.604553223
3764612,830.09552002
3764712,1017.30151367
3764812,1103.37731934
3764912,1099.11462402
3765012,1100.15087891
3765112,1088.88745117
3765212,1113.70275879
3765312,990.232543945
3765412,924.741638184
3765512,1038.98681641
3765612,1069.10241699
3765712,993.083984375
3765812,894.011901855
3765912,944.347961426
3766012,822.340576172
3766112,924.150146484
3766212,956.936767578
3766312,857.884216309
3766412,833.988342285
3766512,923.808105469
3766612,1013.30175781
3766712,952.717529297
3766812,858.643432617
3766912,861.749328613
3767012,902.042602539
3767112,854.586975098
3767212,795.004089355
3767312,793.368469238
3767412,795.204772949
3767512,812.434753418
3767612,894.664611816
3767712,891.809509277
3767812,884.030395508
3767912,895.116027832
3768012,900.364929199
3768112,873.420471191
3768212,907.838378906
3768312,907.973083496
3768412,954.604675293
3768512,1028.07958984
3768612,957.600646973
3768712,914.880493164
3768812,919.3203125
3768912,923.624328613
3769012,953.217895508
3769112,917.229797363
3769212,937.474731445
3769312,955.957397461
3769412,987.096679688
3769512,1129.57226562
3769612,1114.51477051
3769712,1071.59069824
3769812,1038.14318848
3769912,999.952209473
3770012,1003.84838867
3770112,1025.84667969
3770212,1041.07800293
3770312,1071.38061523
3770412,1075.14025879
3770512,1028.24072266
3770612,1041.07678223
3770712,1094.62976074
3770812,1039.7668457
3770912,1046.49938965
3771012,1025.9609375
3771112,1038.8927002
3771212,1134.37463379
3771312,1091.85498047
3771412,1100.36804199
3771512,1118.85534668
3771612,1116.2833252
3771712,1043.3638916
3771812,1159.61987305
3771912,1143.51831055
3772012,1137.37780762
3772112,1159.42541504
3772212,1094.4765625
3772312,1112.44628906
3772412,1119.91271973
3772512,1198.94726562
3772612,1211.95825195
3772712,1198.83374023
3772812,1165.86560059
3772912,1236.7130127
3773012,1147.79943848
3773112,1120.15527344
3773212,1196.93994141
3773312,1290.56359863
3773412,1280.05065918
3773512,1246.54418945
3773612,1299.08776855
3773712,1201.87182617
3773812,1208.7409668
3773912,1198.89941406
3774012,1207.04162598
3774112,1149.67016602
3774212,1199.37268066
3774312,1189.8996582
3774412,1226.32873535
3774512,1270.27978516
3774612,1309.28820801
3774712,1325.92175293
3774812,1235.58154297
3774912,1324.19372559
3775012,1283.58679199
3775112,1290.18566895
3775212,1285.49157715
3775312,1294.39355469
3775412,1322.33374023
3775512,1319.8293457
3775612,1331.69909668
3775712,1274.98876953
3775812,1256.24279785
3775912,1308.12597656
3776012,1316.3626709
3776112,1295.08117676
3776212,1272.9296875
3776312,1223.61462402
3776412,1235.31188965
3776512,1379.47998047
3776612,1233.20031738
3776712,1266.8972168
3776812,1332.7142334
3776912,1358.27844238
3777012,1293.98791504
3777112,1351.76147461
3777212,1283.37451172
3777312,1369.55395508
3777412,1294.58862305
3777512,1382.05065918
3777612,1429.02954102
3777712,1450.04284668
3777812,1394.95068359
3777912,1404.50109863
3778012,1403.02758789
3778112,1427.59387207
3778212,1328.86547852
3778312,1429.47509766
3778412,1427.02758789
3778512,1424.94396973
3778612,1392.99523926
3778712,1399.82507324
3778812,1485.06408691
3778912,1521.07373047
3779012,1521.15637207
3779112,1445.23962402
3779212,1478.34960938
3779312,1388.8182373
3779412,1407.57702637
3779512,1444.84655762
3779612,1459.68200684
3779712,1374.92077637
3779812,1386.69592285
3779912,1407.29406738
3780012,1418.25683594
3780112,1390.44128418
3780212,1503.12060547
3780312,1482.37084961
3780412,1504.42980957
3780512,1406.24438477
3780612,1486.16455078
3780712,1469.21459961
3780812,1473.56481934
3780912,1471.97058105
3781012,1513.79553223
3781112,1499.1262207
3781212,1506.94055176
3781312,1437.23144531
3781412,1457.86694336
3781512,1440.0682373
