ID,Footfall
3725712,1026.61230469
3725812,1146.98156738
3725912,1072.43005371
3726012,983.310241699
3726112,1000.69378662
3726212,1047.97058105
3726312,1019.73168945
3726412,1042.3548584
3726512,973.48828125
3726612,1067.72094727
3726712,1084.23461914
3726812,987.647155762
3726912,807.366455078
3727012,726.129577637
3727112,812.18347168
3727212,883.251037598
3727312,1054.60021973
3727412,1000.20135498
3727512,1026.55834961
3727612,1072.38757324
3727712,1064.17053223
3727812,971.195739746
3727912,943.707885742
3728012,892.999267578
3728112,985.264160156
3728212,958.436950684
3728312,770.628723145
3728412,739.860351562
3728512,769.781311035
3728612,762.6953125
3728712,658.883483887
3728812,835.034484863
3728912,885.524414062
3729012,899.848022461
3729112,927.686828613
3729212,860.554870605
3729312,781.650512695
3729412,856.543945312
3729512,807.990905762
3729612,786.823242188
3729712,802.621643066
3729812,935.717041016
3729912,974.726989746
3730012,1012.06549072
3730112,1023.2298584
3730212,1030.94030762
3730312,1053.26196289
3730412,1103.48486328
3730512,1001.70184326
3730612,1059.72363281
3730712,1121.140625
3730812,1125.48413086
3730912,1076.6932373
3731012,1097.85229492
3731112,1005.55963135
3731212,965.302856445
3731312,1038.8626709
3731412,986.713134766
3731512,928.893676758
3731612,1013.36077881
3731712,955.522583008
3731812,1037.96362305
3731912,997.139038086
3732012,994.490844727
3732112,1011.64691162
3732212,1122.64880371
3732312,1089.19885254
3732412,1143.74328613
3732512,1055.01672363
3732612,1056.80383301
3732712,996.627624512
3732812,995.264953613
3732912,988.453369141
3733012,1010.76055908
3733112,1071.78430176
3733212,1108.22119141
3733312,1028.97668457
3733412,1024.53613281
3733512,1087.49206543
3733612,1071.89099121
3733712,1012.93115234
3733812,1025.33251953
3733912,1019.11291504
3734012,1048.39001465
3734112,906.204956055
3734212,1030.15563965
3734312,1057.66137695
3734412,1077.13684082
3734512,1063.65258789
3734612,1000.33068848
3734712,1055.53137207
3734812,1120.32922363
3734912,1201.96582031
3735012,1132.24633789
3735112,1120.58642578
3735212,1038.0793457
3735312,1016.77093506
3735412,1175.84130859
3735512,1197.17102051
3735612,1182.36865234
3735712,1120.96533203
3735812,1097.72900391
3735912,1068.92834473
3736012,1062.68920898
3736112,1103.99926758
3736212,1037.38696289
3736312,1192.39160156
3736412,1193.32995605
3736512,1157.24975586
3736612,1171.13342285
3736712,1149.42822266
3736812,1182.78259277
3736912,1175.8762207
3737012,1156.59118652
3737112,1170.43823242
3737212,1185.88098145
3737312,1173.14160156
3737412,1139.56396484
3737512,1134.27124023
3737612,1171.82678223
3737712,1317.95373535
3737812,1310.68554688
3737912,1292.78320312
3738012,1235.3470459
3738112,1234.73217773
3738212,1291.97875977
3738312,1377.48986816
3738412,1335.64599609
3738512,1314.85827637
3738612,1316.9375
3738712,1310.5880127
3738812,1200.74731445
3738912,1264.43334961
3739012,1272.86889648
3739112,1194.54882812
3739212,1194.23034668
3739312,1330.46020508
3739412,1372.82336426
3739512,1331.13220215
3739612,1276.47106934
3739712,1287.00878906
3739812,1312.35424805
3739912,1279.19299316
3740012,1304.97412109
3740112,1280.21008301
3740212,1357.75805664
3740312,1334.68359375
3740412,1315.88049316
3740512,1325.37768555
3740612,1333.55212402
3740712,1301.95202637
3740812,1329.52807617
3740912,1329.62121582
3741012,1402.81616211
3741112,1279.52441406
3741212,1361.25927734
3741312,1438.46984863
3741412,1471.04223633
3741512,1468.35449219
3741612,1462.8984375
3741712,1375.26647949
3741812,1411.23828125
3741912,1370.83764648
3742012,1338.02270508
3742112,1401.50671387
3742212,1472.94116211
3742312,1455.65844727
3742412,1433.78942871
3742512,1371.86450195
3742612,1425.1048584
3742712,1474.68164062
3742812,1444.73657227
3742912,1460.09997559
3743012,1465.0255127
3743112,1380.44506836
3743212,1353.57849121
3743312,1396.03356934
3743412,1427.29248047
3743512,1491.75964355
3743612,1440.56677246
3743712,1420.60119629
3743812,1500.58618164
3743912,1606.21826172
3744012,1573.5435791
3744112,1629.73657227
3744212,1522.39794922
3744312,1525.2800293
3744412,1556.96069336
3744512,1468.97973633
3744612,1495.15258789
3744712,1492.96777344
3744812,1464.9888916
3744912,1434.78430176
3745012,1461.15869141
3745112,1405.45361328
3745212,1425.02783203
3745312,1464.11193848
3745412,1487.91601562
3745512,1462.16918945
3745612,1409.6463623
3745712,1434.10534668
3745812,1446.45727539
3745912,1485.70581055
3746012,1538.20605469
3746112,1657.4921875
3746212,1558.1784668
3746312,1541.63500977
3746412,1546.73828125
3746512,1424.57409668
3746612,1473.82312012
3746712,1471.15979004
3746812,1541.56945801
3746912,1587.2121582
3747012,1487.58618164
3747112,1503.94555664
3747212,1506.17773438
3747312,1535.57568359
3747412,1450.91699219
3747512,1464.35656738
3747612,1498.26513672
3747712,1515.68566895
3747812,1434.96972656
3747912,1501.01000977
3748012,1623.96411133
3748112,1592.49938965
3748212,1596.92834473
3748312,1548.79418945
3748412,1510.52111816
3748512,1599.83959961
3748612,1690.7755127
3748712,1583.07849121
3748812,1503.24841309
3748912,1465.03442383
3749012,1498.79602051
3749112,1459.95080566
3749212,1539.37719727
3749312,1480.22644043
3749412,1403.00378418
3749512,1532.10205078
3749612,1499.73791504
3749712,1569.84155273
3749812,1499.72338867
3749912,1421.00390625
3750012,1397.28991699
3750112,1429.40332031
3750212,1394.71606445
3750312,1431.61779785
3750412,1338.30847168
3750512,1371.36547852
3750612,1421.23791504
3750712,1412.65405273
3750812,1486.35534668
3750912,1440.06298828
3751012,1380.56176758
3751112,1356.73669434
3751212,1362.47631836
3751312,1362.21520996
3751412,1430.90270996
3751512,1425.27893066
3751612,1388.11303711
3751712,1362.30187988
3751812,1341.58581543
3751912,1404.36376953
3752012,1374.68151855
3752112,1339.53564453
3752212,1366.95605469
3752312,1356.87121582
3752412,1422.2467041
3752512,1391.54199219
3752612,1346.69750977
3752712,1415.82922363
3752812,1372.0255127
3752912,1458.93591309
3753012,1316.46447754
3753112,1333.9074707
3753212,1292.23071289
3753312,1230.63427734
3753412,1250.24536133
3753512,1191.65063477
3753612,1198.37915039
3753712,1259.92297363
3753812,1225.92004395
3753912,1188.69909668
3754012,1209.4588623
3754112,1290.70593262
3754212,1244.86376953
3754312,1229.02416992
3754412,1261.60058594
3754512,1310.36035156
3754612,1312.76208496
3754712,1282.60961914
3754812,1250.66760254
3754912,1220.49768066
3755012,1237.04187012
3755112,1249.32849121
3755212,1221.8302002
3755312,1227.65246582
3755412,1221.20581055
3755512,1140.20422363
3755612,1120.9107666
3755712,1234.84655762
3755812,1264.71936035
3755912,1248.50720215
3756012,1273.48718262
3756112,1152.23522949
3756212,1196.6060791
3756312,1151.20349121
3756412,1080.02832031
3756512,1005.90441895
3756612,1124.49035645
3756712,1214.09558105
3756812,1210.0378418
3756912,1172.24145508
3757012,1095.59594727
3757112,1140.43188477
3757212,1175.82397461
3757312,1139.0279541
3757412,1044.75085449
3757512,987.093994141
3757612,1064.12658691
3757712,1114.26147461
3757812,1038.33044434
3757912,1133.02294922
3758012,1207.98571777
3758112,1188.77478027
3758212,1201.73352051
3758312,1158.45288086
3758412,982.164611816
3758512,1237.73950195
3758612,1160.24816895
3758712,1077.67004395
3758812,995.706542969
3758912,972.493713379
3759012,1091.10925293
3759112,974.415771484
3759212,903.549133301
3759312,1026.55895996
3759412,962.046447754
3759512,904.510559082
3759612,987.832519531
3759712,940.466918945
3759812,987.884338379
3759912,1089.12182617
3760012,777.74786377
3760112,918.17364502
3760212,957.09576416
3760312,997.764648438
3760412,868.518493652
3760512,1119.90673828
3760612,1026.08947754
3760712,1010.39886475
3760812,820.092346191
3760912,813.164794922
3761012,891.268920898
3761112,823.6484375
3761212,964.76751709
3761312,1060.98925781
3761412,1070.31091309
3761512,1064.79467773
3761612,1099.48669434
3761712,947.574157715
3761812,1037.96801758
3761912,1113.58984375
3762012,1118.73474121
3762112,1155.17724609
3762212,1022.57806396
3762312,1045.26647949
3762412,1043.73413086
3762512,1072.34606934
3762612,986.557312012
3762712,971.098693848
3762812,981.980285645
3762912,1012.60412598
3763012,934.98828125
3763112,940.19519043
3763212,929.483520508
3763312,789.758972168
3763412,776.291687012
3763512,884.76361084
3763612,738.547729492
3763712,703.564086914
3763812,780.099365234
3763912,815.223754883
3764012,831.649475098
3764112,734.992370605
3764212,730.979919434
3764312,775.139526367
3764412,808.028076172
3764512,679.482299805
3764612,856.832946777
3764712,1058.14855957
3764812,1103.42614746
3764912,1103.8717041
3765012,1104.81872559
3765112,1092.69750977
3765212,1102.50170898
3765312,982.848632812
3765412,919.490234375
3765512,1023.40765381
3765612,1086.02453613
3765712,1014.48748779
3765812,887.775878906
3765912,928.273803711
3766012,809.363952637
3766112,902.833068848
3766212,945.17779541
3766312,852.72845459
3766412,849.649719238
3766512,909.120727539
3766612,1019.88391113
3766712,948.229370117
3766812,828.76159668
3766912,869.546081543
3767012,876.748962402
3767112,824.602050781
3767212,834.172119141
3767312,817.958129883
3767412,847.72052002
3767512,847.66027832
3767612,871.000244141
3767712,902.76159668
3767812,873.034790039
3767912,901.303955078
3768012,879.001342773
3768112,1000.87139893
3768212,971.409667969
3768312,980.194458008
3768412,1003.11364746
3768512,1159.61877441
3768612,1026.11071777
3768712,927.141418457
3768812,936.894897461
3768912,983.056396484
3769012,973.221191406
3769112,975.901306152
3769212,992.700073242
3769312,922.020019531
3769412,960.430053711
3769512,1117.21337891
3769612,1133.37756348
3769712,1041.2388916
3769812,993.699645996
3769912,933.299316406
3770012,962.851928711
3770112,988.066467285
3770212,1024.17480469
3770312,1060.37023926
3770412,1092.4564209
3770512,1042.79516602
3770612,1034.53991699
3770712,1086.8704834
3770812,993.31628418
3770912,981.307006836
3771012,961.448181152
3771112,1001.23626709
3771212,1177.5369873
3771312,1143.72241211
3771412,1124.37280273
3771512,1158.59338379
3771612,1146.6496582
3771712,1082.27319336
3771812,1180.98657227
3771912,1153.70056152
3772012,1196.25146484
3772112,1168.64489746
3772212,1102.2208252
3772312,1113.81921387
3772412,1134.08178711
3772512,1225.7935791
3772612,1213.01525879
3772712,1209.48339844
3772812,1173.88769531
3772912,1229.2947998
3773012,1128.32006836
3773112,1127.26855469
3773212,1119.51623535
3773312,1227.89038086
3773412,1191.77038574
3773512,1186.53369141
3773612,1221.15722656
3773712,1106.16259766
3773812,1108.43139648
3773912,1170.19567871
3774012,1165.88391113
3774112,1126.58630371
3774212,1268.53137207
3774312,1274.26940918
3774412,1336.46557617
3774512,1321.54956055
3774612,1330.8861084
3774712,1373.65441895
3774812,1284.42834473
3774912,1342.27490234
3775012,1308.20690918
3775112,1314.28649902
3775212,1298.8013916
3775312,1287.13085938
3775412,1309.27001953
3775512,1307.1229248
3775612,1326.89941406
3775712,1296.51464844
3775812,1246.30114746
3775912,1265.62402344
3776012,1285.19641113
3776112,1283.03527832
3776212,1237.44348145
3776312,1182.39477539
3776412,1195.61560059
3776512,1354.16040039
3776612,1205.36816406
3776712,1237.68432617
3776812,1302.08203125
3776912,1324.18493652
3777012,1290.16149902
3777112,1302.99291992
3777212,1242.31542969
3777312,1412.69128418
3777412,1338.27429199
3777512,1398.31384277
3777612,1451.39221191
3777712,1468.21411133
3777812,1411.02624512
3777912,1419.98779297
3778012,1398.64208984
3778112,1440.55200195
3778212,1347.9876709
3778312,1487.19213867
3778412,1455.91625977
3778512,1469.7611084
3778612,1419.57824707
3778712,1440.22180176
3778812,1464.62158203
3778912,1493.94641113
3779012,1506.30358887
3779112,1430.70239258
3779212,1448.9005127
3779312,1401.71533203
3779412,1452.07531738
3779512,1438.0255127
3779612,1422.89355469
3779712,1348.62084961
3779812,1350.93505859
3779912,1380.38317871
3780012,1404.8302002
3780112,1357.48474121
3780212,1456.06018066
3780312,1516.91992188
3780412,1541.01318359
3780512,1450.00561523
3780612,1483.78210449
3780712,1491.78710938
3780812,1508.87182617
3780912,1504.00219727
3781012,1524.02954102
3781112,1522.65478516
3781212,1534.08874512
3781312,1460.74621582
3781412,1492.16503906
3781512,1472.46643066
3781612,1549.89929199
3781712,1514.37426758
3781812,1494.40808105
3781912,1543.39245605
3782012,1525.03259277
3782112,1515.02429199
3782212,1538.19348145
3782312,1529.61499023
3782412,1554.33032227
3782512,1594.22851562
3782612,1495.0847168
3782712,1545.47607422
3782812,1523.56103516
3782912,1495.95288086
3783012,1493.60131836
3783112,1526.37414551
3783212,1491.59204102
3783312,1441.74597168
3783412,1539.5447998
3783512,1559.12463379
3783612,1509.96203613
3783712,1476.83105469
3783812,1487.49609375
3783912,1468.52966309
3784012,1510.82043457
3784112,1466.62084961
3784212,1506.39318848
3784312,1488.41247559
3784412,1504.0793457
3784512,1481.44519043
3784612,1442.40759277
3784712,1477.55187988
3784812,1511.18652344
3784912,1522.32067871
3785012,1505.5604248
3785112,1492.21789551
3785212,1397.60791016
